defined_class	defined_class_label	external	external_label
http://purl.obolibrary.org/obo/NCIT_C12670	Aortic Valve	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve
http://purl.obolibrary.org/obo/NCIT_C32126	Apex of the Heart	http://purl.obolibrary.org/obo/UBERON_0002098	apex of heart
http://purl.obolibrary.org/obo/NCIT_C13087	Apex of the Prostate	http://purl.obolibrary.org/obo/UBERON_0035441	apex of prostate
http://purl.obolibrary.org/obo/NCIT_C34109	Apical Ectodermal Ridge	http://purl.obolibrary.org/obo/UBERON_0004356	apical ectodermal ridge
http://purl.obolibrary.org/obo/NCIT_C32132	Apocrine Sweat Gland	http://purl.obolibrary.org/obo/UBERON_0000382	apocrine sweat gland
http://purl.obolibrary.org/obo/NCIT_C32133	Aponeurosis	http://purl.obolibrary.org/obo/UBERON_0006614	aponeurosis
http://purl.obolibrary.org/obo/NCIT_C61460	Appendage	http://purl.obolibrary.org/obo/UBERON_0000026	appendage
http://purl.obolibrary.org/obo/NCIT_C49477	Appendicular Skeleton	http://purl.obolibrary.org/obo/UBERON_0002091	appendicular skeleton
http://purl.obolibrary.org/obo/NCIT_C12380	Appendix	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/NCIT_C13190	Aqueous Humor	http://purl.obolibrary.org/obo/UBERON_0001796	aqueous humor of eyeball
http://purl.obolibrary.org/obo/NCIT_C32137	Arachnoid Villus	http://purl.obolibrary.org/obo/UBERON_0013153	arachnoid villus
http://purl.obolibrary.org/obo/NCIT_C12368	Areola	http://purl.obolibrary.org/obo/UBERON_0002032	areola
http://purl.obolibrary.org/obo/NCIT_C32141	Arm	http://purl.obolibrary.org/obo/UBERON_0003822	forelimb stylopod
http://purl.obolibrary.org/obo/NCIT_C52754	Arm Skin	http://purl.obolibrary.org/obo/UBERON_0002427	arm skin
http://purl.obolibrary.org/obo/NCIT_C49329	Arterial System Endothelium	http://purl.obolibrary.org/obo/UBERON_0004700	arterial system endothelium
http://purl.obolibrary.org/obo/NCIT_C12672	Arteriole	http://purl.obolibrary.org/obo/UBERON_0001980	arteriole
http://purl.obolibrary.org/obo/NCIT_C49192	Arteriole Endothelium	http://purl.obolibrary.org/obo/UBERON_0001916	endothelium of arteriole
http://purl.obolibrary.org/obo/NCIT_C12372	Artery	http://purl.obolibrary.org/obo/UBERON_0001637	artery
http://purl.obolibrary.org/obo/NCIT_C49194	Artery Endothelium	http://purl.obolibrary.org/obo/UBERON_0001917	endothelium of artery
http://purl.obolibrary.org/obo/NCIT_C49195	Artery Smooth Muscle Tissue	http://purl.obolibrary.org/obo/UBERON_0002111	artery smooth muscle tissue
http://purl.obolibrary.org/obo/NCIT_C32144	Articular Cartilage	http://purl.obolibrary.org/obo/UBERON_0010996	articular cartilage of joint
http://purl.obolibrary.org/obo/NCIT_C32147	Aryepiglottic Fold	http://purl.obolibrary.org/obo/UBERON_0014385	aryepiglottic fold
http://purl.obolibrary.org/obo/NCIT_C32146	Aryepiglottic Muscle	http://purl.obolibrary.org/obo/UBERON_0011025	aryepiglotticus muscle
http://purl.obolibrary.org/obo/NCIT_C32148	Arytenoid Cartilage	http://purl.obolibrary.org/obo/UBERON_0001740	arytenoid cartilage
http://purl.obolibrary.org/obo/NCIT_C32149	Arytenoid Muscle	http://purl.obolibrary.org/obo/UBERON_0010958	arytenoid muscle
http://purl.obolibrary.org/obo/NCIT_C32150	Ascending Aorta	http://purl.obolibrary.org/obo/UBERON_0001496	ascending aorta
http://purl.obolibrary.org/obo/NCIT_C12265	Ascending Colon	http://purl.obolibrary.org/obo/UBERON_0001156	ascending colon
http://purl.obolibrary.org/obo/NCIT_C32154	Ascending Limb of Henle's Loop	http://purl.obolibrary.org/obo/UBERON_0005164	ascending limb of loop of Henle
http://purl.obolibrary.org/obo/NCIT_C32157	Atlanto-Axial Joint	http://purl.obolibrary.org/obo/UBERON_0003694	atlanto-axial joint
